"Title","By","FictionOrNon","Subjects","Height","Width","Depth","Shelf","From","Scans","BackedUp","CroppedP2","Notes","boxNumber","rowIndex","bookIndex"
"In Praise of Sailing","Welleran Poltarnees","F","Sailing, Poetry",29.4,0.9,20.5,"f1c","Fields","","","","",5,0,19
"The Complete Book of Herbs","Lesley Bremness","NF","Cooking, Gardening",30.3,2.7,20.4,"f1a","Fields","7740/7741","👍","","",5,0,20
"Men, Ships, and the Sea","Capt. Alan Villiers","NF","Sailing",28.8,3,19.8,"f2b","Schipper Estate","","","","",5,0,21
"Wildflowers of Eastern America","John E. Klimas and James A. Cunningham","NF","Gardening",26,2.5,18.7,"f1a","Fields","051/052","👍","","",5,1,0
"Old First Church Presbyterian","TODO","NF","History",26,0.3,18.5,"o1a","Schipper Estate","","","","",5,1,1
"Textbook of Anatomy and Physiology","Catherine Parker Anthony","NF","Medical",26,3.5,18.2,"o3d","Schipper Estate","","","","",5,1,2
"Compiler Construction For Digital Computers","David Gries","NF","Computer Science",26,3,18,"o1f","Fields","","","","",5,1,3
"LISP 1.5 Programmer's Manual","Computation Center and Research Laboratory of Electronics: MIT","NF","Computer Science",25,0.6,17.9,"o1e","Fields","","","","",5,1,4
"My Friend the Rose","Francis E. Lester","NF","Gardening",25.8,2,17.8,"o5g","Schipper Estate","","","","",5,1,5
"Stedman's Medical Dictionary, 22nd Edition","The Wilkins and Wilkins Company","NF","Medical",25.7,5.6,17.5,"o3d","Schipper Estate","","","","",5,1,6
"Ocean View Farm Cookbook","Bartlett's Farm","NF","Cooking",25.5,1.2,17.3,"o4e","Schipper Estate","","","","",5,1,7
"The Death of a President","William Manchester","NF","History",24.5,4.3,16.7,"o4f","Schipper Estate","","","","",5,1,8
"Good to Great","Jim Collins","NF","Business",24.1,3.7,16.3,"o3d","Gareth","","","","",5,1,9
"Modern Seamanship","Don Dodds","NF","Sailing",24.2,3.1,16.2,"o4e","Schipper Estate","","","","",5,1,10
"The Fairy Doll","Rumer Godden","F","Children",26,1.1,16.1,"o5f","Schipper Estate","","","","",5,1,11
"The Americas Cup and Me","Edward du Moulin","NF","Sailing",26,1.5,16,"f1b","Fields","","","","",5,1,12
"Normal and Therapeurtic Nutrition","Proudfit and Robinson","NF","Medical",24.1,4.2,16,"o5e","Schipper Estate","","","","",5,1,13
"The Art of Raising A Puppy","The Monks of New Skete","NF","Dogs",24.1,2.1,16,"o1c","Gareth","","","","",5,1,14
"Half Moon","Douglas Hunter","NF","History, Sailing",24,2.8,16,"f2e","Fields","","","","",5,1,15
"Object-Oriented Analysis","Peter Coad and Edward Yourdon","NF","Computer Science",24,1.6,15.5,"o1e","Fields","","","","",5,1,16
"Selections From Household Hints & Handy Tips","Reader's Digest","NF","General Nonfiction",23,1.5,15.4,"o4c","Schipper Estate","","","","",5,1,17
"The Norton Anthology of Poetry","Arthur M Eastman et al","F","Poetry",25.1,4.9,15.1,"o5e","Schipper Estate","","","","",5,1,18
"Gregg Shorthand (1)","John Robert Gregg, Louis A. Leslie, and Chales E. Zoubek","NF","Writing",23.8,2.4,15.1,"o4e","Schipper Estate","","","","",5,1,19
"How to Catch Sal Water Fish","Bill Wisner","NF","Fishing",22,1.8,14,"o5e","Schipper Estate","","","","",5,1,20
"The Old Farmer's Almanac Colonial Cookbook","Clarissa M. Silitch","NF","Cooking",21.5,0.5,14,"o4c","Schipper Estate","","","","",5,1,21
"The Associated Press Guide to Punctuation","Rene J. Cappon","NF","Writing",18.9,0.9,11.5,"o4b","Schipper Estate","","","","",5,1,22
"Fabulous Fondues","Dorothy H. Becker and Nancy S. Wallace","NF","Cooking",18.8,1,11.3,"o4a","Schipper Estate","","","","",5,1,23
"In Mexico - It's the Custom, Señor!","American Airlines","NF","Travel",15,0.4,10.2,"o4b","Schipper Estate","","","","",5,1,24
"Two LR Parser Generators for Ambiguous Grammers","Todd Field","NF","Computer Science",28.5,4,25,"o1f","Fields","","","","",12,0,0
"Pioneer: First to Jupiter, Saturn, and Beyond","NASA","NF","Space",28.7,1.5,23,"o2","Gareth","","","","",12,0,1
"Seabird","Holling Clancy Holling","F","Children",28.7,1.3,23,"o1a","Schipper Estate","","","","",12,0,2
"The Story of The Dawn's Early Light","Steven Kroll","NF","History",28.8,0.8,22.8,"f1b","Fields","","","","",12,0,3
"Foods of Long Island","Peggy Katalinich","NF","Cooking",28.5,1.7,22.8,"f1b","Fields","","","","",12,0,4
"Discovering the California Coast","A Sunset Book","NF","Travel",28.6,2.2,22.6,"o4f","Schipper Estate","","","","",12,0,5
"Snow Riders","Constance W. McGeorge","F","Children",28.6,0.8,22.6,"o1a","Schipper Estate","","","","",12,0,6
"The Good Housekeeping Illustrated Book of Needlecrafts","Good Housekeeping","NF","Sewing",28.5,2.1,22.6,"o1c","Gareth","","","","",12,0,7
"How to Design Logos, Symbols and Icons","Gregory Thomas","NF","Design",28.5,1.7,22.5,"o1b","Gareth","","","","",12,0,8
"Logo, Font, & Lettering Bible","Leslie Cabarga","NF","Design",28.6,2.3,22.4,"o1b","Gareth","","","","",12,0,9
"The Decorated Initials of the Book of Kells","Elsbeth Linn Field","NF","Art",28.7,2.4,22.3,"o4f","Schipper Estate","","","","",12,0,10
"Sailing Companion","Arthur Somers","NF","Sailing",28.7,2.6,22.2,"f2b","Schipper Estate","","","","",12,0,11
"The Dreamer","Cynthia Rylant","F","Children",28.5,1,22.2,"o1d","Schipper Estate","","","","",12,0,12
"Nutcracker","E. T. A. Hoffmann","F","Fiction",28.5,1.7,22.1,"o1a","Schipper Estate","","","","",12,0,13
"Eyewitness Books: Boat","Eric Kentley","NF","Sailing",28.8,1.1,22,"f1b","Fields","","","","",12,0,14
"Ortho's Complete Guide To Successful Gardening","Ortho Books","NF","Gardening",28.6,3.3,22,"f1a","Fields","7734/7735","👍","","Bookmark on page 124",12,0,15
"Yachting World Annual 1971","Guy Cole","NF","Sailing",28.5,1.8,22,"f2b","Schipper Estate","","","","",12,0,16
"Ideals Scrap Book","Van B Hooper","NF","History",28.5,1.2,22,"o5g","Schipper Estate","","","","",12,0,17
"The World of Flower Arranging","Barbara Pearce","NF","Art",28.6,1.1,21.9,"o5g","Schipper Estate","","","","",12,0,18
"A Mother's Journal","Mary Engelbreit","NF","Parenting",28.8,1.1,21.5,"o1a","Schipper Estate","","","","",12,0,19
"The Family & Friends Book of Christmas Carols","Wise Publications","NF","Music",27.8,0.4,21.2,"o1d","Schipper Estate","","","","",12,0,20
"Millie's Datebook","Millie","NF","History",8.5,1,5.2,"o5a","Schipper Estate","","","","",12,1,0
"The Very Best of Martha Stewart Living: Weddings","Martha Stewart","NF","Art",28.7,2.2,28.9,"o5g","Schipper Estate","","","","",14,0,0
"101 Dalmations","Carl Buettner","F","Children",28.3,0.7,23,"f1b","Fields","","","","",14,0,1
"The Christmas Tree at Rockefeller Center","Carla Tosilieri D'Agostino and Byron Keith Byrd","NF","Art",27.9,1.4,23,"o1d","Schipper Estate","","","","",14,0,2
"Indoor Plants","Doris F. Hirsch","NF","Gardening",28.2,2.4,22.3,"o1a","Schipper Estate","","","","",14,0,3
"More How Stuff Works","Marshall Brian","NF","General Nonfiction",28.2,2.2,22.3,"o1c","Gareth","","","","",14,0,4
"Identifying Variation: A Stylistic Analysis of Four Caddo Pottery Assemlages From Southeastern Oklahoma (1)","Elsbeth Dowd","NF","Anthropology",27.9,2,22.3,"o4f","Schipper Estate","","","","",14,0,5
"The Dreamer","Cynthia Rylant and Barry Moser","F","Children",28.5,0.8,22.2,"o5g","Schipper Estate","","","","",14,0,6
"Chicka Chicka Boom Boom","Bill Martin, Jr. and John Archambault","F","Children",28.1,0.8,22.2,"o1a","Schipper Estate","","","","",14,0,7
"An Easter Alphabet","Nora Tarlow","F","Children",28.5,0.9,22,"o1d","Schipper Estate","","","","",14,0,8
"Chapman Piloting: Seamanship and Small Boat Handling","Elbert S. Maloney","NF","Sailing",28.2,4.2,22,"f1b","Fields","","","","",14,0,9
"Piloting, Seamanship and Small Boat Handling","Charles F. Chapman","NF","Sailing",28,4.5,22,"f2b","Schipper Estate","","","","",14,0,10
"A Family Christmas","Reader's Digest","F/NF","Christmas",28.3,2.3,21.8,"o1a","Schipper Estate","","","","",14,0,11
"Start Sailing Right","Derrick Fries","NF","Sailing",28,1.2,21.8,"f2b","Schipper Estate","","","","",14,0,12
"Geoarchaeology and the Cross Timbers","David J. Cranford, Elsbeth L. Dowd, and Don G. Wyckoff","NF","Geoarchaeology",27.9,0.8,21.6,"o1c","Gareth","","","","",14,0,13
"Chart No. 1: Symbols Abbreviations and Terms","Dpt. Commerce and Dpt. Defense","NF","Sailing",27.8,0.7,21.6,"o5g","Schipper Estate","","","","",14,0,14
"The Twilight of Sailing Ships","Robert Carse","NF","Sailing",28,1.8,21.5,"f2b","Schipper Estate","","","","",14,0,15
"Outboard Boater's Handbook","David R. Getchell, Sr.","NF","Sailing",28,1.5,21.5,"f2b","Schipper Estate","","","","",14,0,16
"Port Recalled","Virginia D. Marshall","NF","History",28,0.9,21.5,"f1b","Fields","","","","",14,0,17
"Geoarchaeology and the Cross Timbers","David J. Cranford, Elsbeth L. Dowd, and Don G. Wyckoff","NF","Archaeology",28,0.8,21.5,"o5g","Schipper Estate","","","","",14,0,18
"Patterngrams","Nancy Olson","NF","Art",27.8,1.6,21.5,"o5g","Schipper Estate","","","","",14,0,19
"Ultimate: Techniques and Tactics","James Parinella and Eric Zaslow","NF","Sports",27.8,1.4,21.5,"o3b","Gareth","","","","",14,0,20
"YRA LIS 2011 Racing Program","Yacht Racing Association of Long Island Sound","NF","Sailing",27.8,0.8,21.5,"f1b","Fields","","","","",14,0,21
"Ponds and Fountains","Creative Homeowner","NF","Landscaping",27.8,0.6,21.5,"o1a","Schipper Estate","","","","",14,0,22
"Images of Huntington II","The Huntington Historical Society","NF","History",27.8,0.3,21.5,"o4f","Schipper Estate","","","","",14,0,23
"Identifying Variation: A Stylistic Analysis of Four Caddo Pottery Assemlages From Southeastern Oklahoma (2)","Elsbeth Dowd","NF","Anthropology",27.8,0.8,21.4,"o5g","Schipper Estate","","","","",14,0,24
"Images of Huntington","The Huntington Historical Society","NF","History",27.8,0.5,21.4,"o4f","Schipper Estate","","","","",14,0,25
"Basic Photo Text","Ken Muse","NF","Photography",28,1.9,21.3,"o1b","Gareth","","","","",14,0,26
"A Child's Guide to Nantucket","Reneé P. Cooley","NF","Children, Travel",27.8,0.3,21.3,"o4f","Schipper Estate","","","","",14,0,27
"A House in the Cotswolds","A Laura Ashley Decorating Book","NF","Art",27.8,0.3,21.3,"o4f","Schipper Estate","","","","",14,0,28
"Theme Gardens","Barbara Damrosch","NF","Gardening",27.6,1.2,21.3,"o4f","Schipper Estate","","","","",14,0,29
"Oh, the Places You'll Go!","Dr. Suess","F","Children",28.5,1,21.2,"o1a","Schipper Estate","","","","",14,0,30
"Guide to Landscape & Lawn Care","McGraw-Hill","NF","Gardening",27.9,0.5,21.2,"o4f","Schipper Estate","","","","",14,0,31
"NASM Essentials of Personal Fitness Training, Study Guide","Micheal A. Clark, Scott C. Lucett, and Rodney J. Corn","NF","Sports",27.7,0.6,21.2,"o3b","Gareth","","","","",14,0,32
"UNIX System Internals: Device Drivers (Vol. 2)","AT&T Bell Laboratories","NF","Computer Science",28,2.3,21.1,"o1f","Fields","","","","",14,0,33
"UNIX System Internals: Device Drivers (Vol. 1)","AT&T Bell Laboratories","NF","Computer Science",28,1.6,21.1,"o1f","Fields","","","","",14,0,34
"Vegetable Gardening Know-How","Dick Raymond","NF","Gardening",27.9,1,21.1,"o4f","Schipper Estate","","","","",14,0,35
"Improving Your Garden Soil","Ortho Books","NF","Gardening",27.9,0.6,21.1,"f1a","Fields","043/044","👍","","",14,0,36
"Huntington Place-Names","Rufus B. Langhans","NF","History",27.8,0.3,21.1,"o4f","Schipper Estate","","","","",14,0,37
"The Michigan University Song Book","Franklin Wagner","NF","Music",27.7,1.7,21.1,"f2b","Schipper Estate","","","","",14,0,38
"All About Vegetables","Ortho Books","NF","Gardening",28,0.8,21,"o1a","Schipper Estate","","","","",14,0,39
"A Guide To Fortran IV Programming","Daniel D. McCracken","NF","Computer Science",27.9,1.4,21,"o1e","Fields","","","","",14,0,40
"Pass It On","Marguerite Ashworth Brunner","NF","Art",27.9,1.4,21,"o5g","Schipper Estate","","","","",14,0,41
"APL User's Guide","Harry Katzan, Jr.","NF","Computer Science",27.8,0.9,21,"o1e","Fields","","","","",14,0,42
"Gardening Shortcuts","Ortho Books","NF","Gardening",27.7,0.7,21,"f1a","Fields","065/066","👍","","",14,0,43
"Vocabulary From Classical Roots","Norma Fifer and Nancy Flowers","NF","English",27.5,0.5,21,"o1c","Gareth","","","","",14,0,44
"All About Tomatoes","Ortho Books","NF","Gardening",28,0.7,20.9,"f1a","Fields","053/054","👍","","",14,0,45
"Horton Hears A Who","Dr. Suess","F","Children",28.3,1.1,20.8,"o1a","Schipper Estate","","","","",14,0,46
"Award--Winning Small-Space Gardens","Ortho Books","NF","Gardening",27.7,0.7,20.6,"o4f","Schipper Estate","","","","",14,0,47
"Rhododendrons and Azaleas","Philip Edinger","NF","Gardening",26.7,0.7,20.3,"f1a","Fields","077/078","👍","","",14,1,0
"Voyage To Jupiter","NASA","NF","Space",26,1.2,20,"o2","Gareth","","","","",14,1,1
"The Well-Tended Perennial Garden","Tracy DiSabato-Aust","NF","Gardening",26.5,2.5,19.8,"f1a","Fields","039/040","👍","","",14,1,2
"Maternity Nursing","Fitzpatrick, Reeder, and Mastroianni","NF","Medical",26,3.6,19.8,"o3d","Schipper Estate","","","","",14,1,3
"The Scented Room","Barbara Milo Ohrbach","NF","Art",26,1.4,19.8,"o5g","Schipper Estate","","","","",14,1,4
"The Way Things Work","Barnes and Noble Books","NF","General Nonfiction",26.5,2.1,19.7,"o4f","Schipper Estate","","","","",14,1,5
"First Impressions: Claude Monet","Ann Waldron","NF","Art",26.5,1.3,19.7,"o5g","Schipper Estate","","","","",14,1,6
"Webster's Giant Illustrated Dictionary","Webster","NF","Reference",26.2,4.9,19.7,"o5g","Schipper Estate","","","","",14,1,7
"The Fireside Cookbook","James A. Beard","NF","Cooking",26,3.5,19.5,"o1a","Schipper Estate","","","","",14,1,8
"Favorite Houseplants","Better Homes and Gardens","NF","Gardening",26,1,19.5,"f1a","Fields","059/060","👍","","",14,1,9
"Dolls of Japan","TODO","NF","Art",27,0.5,19.4,"o5g","Schipper Estate","","","","",14,1,10
"Long Island Sound","Fessenden S. Blanchard","NF","History, Sailing",26,2.9,19.4,"o5g","Schipper Estate","","","","",14,1,11
"Textbook of Medical Physiology","Guyton","NF","Medical",26.7,6.1,19,"o5g","Schipper Estate","","","","",14,1,12
"Kangaroo For Christmas","James Flora","F","Children",25.7,0.9,19,"f1a","Fields","099/100","👍","","",14,1,13
"The Lost Dream","Henry Chafez","F","Children",25.7,0.7,19,"f1a","Fields","101/102","👍","","",14,1,14
"Wise Women","Joyce Tenneson","NF","History",25.2,1,19,"o5g","Schipper Estate","","","","",14,1,15
"Light Another Candle","Miriam Chaikin","F","Religious",26,1.1,18.8,"o1d","Schipper Estate","","","","",14,1,16
"Basic Coastal Navigation","Frank J. Larkin","NF","Sailing",26,2.3,18.5,"f2b","Schipper Estate","","","","",14,1,17
"Cornelius Shields On Sailing","Cornelius Shields","NF","Sailing",25.5,3.3,18.5,"f1b","Fields","","","","",14,1,18
"Sailing For Kids","Gary and Steve Kibble","NF","Sailing, Children",24.5,0.3,18.5,"o4e","Schipper Estate","","","","",14,1,19
"Special Computer Architectures for Pattern Processing","K. S. Fu, Tadao Ichikawa","NF","Computer Science",25.9,1.8,18.4,"f1b","Fields","","","","",14,1,20
"Toddlers and Parents","T. Berry Brazelton, MD","NF","Medical",26,2.3,18.2,"o3d","Schipper Estate","","","","",14,1,21
"The Arithmetic of Dosages and Solutions","Laura K. Hart","NF","Medical",25.5,1,18.2,"o3d","Schipper Estate","","","","",14,1,22
"Logical Programming with System/360","Don G. Stabley","NF","Computer Science",25.9,3.3,18.1,"o1e","Fields","","","","",14,1,23
"Old Roses for Modern Gardens","Richard Thomson","NF","Gardening",25.9,1.8,18.1,"o5g","Schipper Estate","","","","",14,1,24
"The Lady's World of Literature and Fashion","Mrs. Ann S. Stephens","NF","Fashion, Literature",25.2,3.5,18,"f2a","Schipper Estate","","","","What the fuck",14,1,25
"Chinese Calligraphy","Edoardo Fazzioli","NF","Calligraphy",24.5,2.2,17,"o1b","Gareth","","","","",14,1,26
"Constitution, By-Laws, Specifications, Rev. 1968","International Blue Jay Class Association","NF","Sailing, History",20.1,0.2,14,"o4c","Schipper Estate","","","","",14,1,27
"A Little Treasury of Favorite Poems","Avnell Books","F","Poetry",18.9,2.2,12,"o5e","Schipper Estate","","","","",14,1,28
"The Golden Rule","Ilene Cooper","F","Children",26,0.8,26,"o1a","Schipper Estate","","","","",50,0,0
"My Life: by Edward du Moulin","Edward du Moulin","NF","Biography, Sailing",27.2,2,24.7,"f1b","Fields","","","","",50,0,1
"Who Do You Do With An Idea","Kobi Yamada","F","Children",27.1,1,23,"o1a","Schipper Estate","","","","",50,0,2
"Nantucket: The Other Season","Stan Grossfeld","NF","Travel, History",26.7,1,23,"o4f","Schipper Estate","","","","",50,0,3
"Tasha Tudor's Garden","Tovah Martin","NF","Gardening",27.5,1.7,22.5,"f1a","Fields","7738/7739","👍","","",50,0,4
"Curious George gets a medal","H. A. Rey","F","Children",26.5,0.9,22.5,"f1b","Fields","","","","",50,0,5
"Perennials","Suzanne Fruitig Bales","NF","Gardening",27.1,0.5,21.7,"f1a","Fields","035/036","👍","","",50,0,6
"Coastal Navigation","US Sailling","NF","Sailling",27.6,1,21.5,"o5g","Schipper Estate","","","","",50,0,7
"Prima's Super Mario 64 Game Secrets Unauthorized","Simon Hill","NF","Gaming",27.6,0.8,21.5,"o1c","Gareth","","","","",50,0,8
"Coastal Navigation: The Certification Series","Tom Cunliffe","NF","Sailing",27.5,1,21.5,"f1b","Fields","","","","",50,0,9
"Horton Hatches the Egg","Dr. Suess","F","Children",26.7,1,21.4,"f1b","Fields","","","","",50,0,10
"The Velveteen Rabbit (2)","Margery Williams","F","Children",27.2,1,21.2,"o1a","Schipper Estate","","","","",50,0,11
"Pruning Handbook","Lee Klein","NF","Gardening",27,0.8,21.2,"f1a","Fields","079/080","👍","","",50,0,12
"Textbook of Medical-Surgical Nursing","Brunner, Emerson, Ferguson, and Suddarth","NF","Medical",26.9,5.5,21.2,"o5g","Schipper Estate","","","","",50,0,13
